Ticker,horizon,samples,direction_accuracy,direction_wf1,direction_mcc,direction_mcc_ci_low,direction_mcc_ci_high
AAPL,1d,100,0.5,0.5,0.0,-0.19762709418281973,0.1992102108263344
AMZN,1d,52,0.5,0.4807987711213518,0.0,-0.25658784065033824,0.280860553461605
GOOG,1d,100,0.51,0.5099509950995099,0.02000400120040014,-0.16615452888027435,0.2065260425912166
MSFT,1d,72,0.5,0.49374999999999997,0.0,-0.22666415081076224,0.24211549812288263
NVDA,1d,100,0.55,0.5444883085332524,0.1025115460130912,-0.10359329906699978,0.287307095306181
TSLA,1d,100,0.54,0.5383380168606985,0.08058229640253803,-0.118357272896116,0.29441468128203235
TSM,1d,60,0.55,0.5468531468531469,0.10141851056742199,-0.15563592755771188,0.33407655239053047
AAPL,3d,100,0.51,0.5087719298245613,0.02010075630518424,-0.17039473856349494,0.23473757137661236
AMZN,3d,52,0.5,0.47187500000000004,0.0,-0.2828894749305018,0.27869153710926964
GOOG,3d,100,0.49,0.48748869460355737,-0.020198929081169423,-0.19970537597080015,0.1666784348974174
MSFT,3d,60,0.5333333333333333,0.513888888888889,0.07273929674533079,-0.17139816499158414,0.32107125223519845
NVDA,3d,100,0.5,0.4981934965877158,0.0,-0.21628926091497233,0.1884859476906525
TSLA,3d,100,0.51,0.5099509950995099,0.02000400120040014,-0.18004323246932857,0.20741146719710546
TSM,3d,60,0.5,0.5,0.0,-0.2668041381743976,0.25664949960929645
AAPL,5d,100,0.55,0.5495946351716544,0.10018048746260763,-0.08557681198774372,0.2957408487441669
AMZN,5d,40,0.55,0.52,0.11547005383792516,-0.18694163031359165,0.4162394148331205
GOOG,5d,100,0.51,0.5039983804028748,0.02050230920261824,-0.17112467945657872,0.21168230767986768
MSFT,5d,24,0.4583333333333333,0.4337568058076225,-0.09166984970282113,-0.47814114160339305,0.29277002188455997
NVDA,5d,100,0.38,0.3760064412238326,-0.24313226954193234,-0.4242464503364186,-0.053373657652839655
TSLA,5d,100,0.54,0.5398159263705482,0.08006407690254357,-0.10889310129609416,0.26920368452934923
TSM,5d,52,0.5576923076923077,0.5535647629712579,0.11757927025044308,-0.1505597858945663,0.37631184407796103
AAPL,10d,100,0.49,0.4899489948994899,-0.02000400120040014,-0.21924810406618336,0.17900944038982655
AMZN,10d,24,0.5,0.4666666666666666,0.0,-0.41137667560372115,0.41104210057594387
GOOG,10d,88,0.5340909090909091,0.531124106562703,0.06906138832741963,-0.13032214433327172,0.2755785108698363
MSFT,10d,24,0.3333333333333333,0.25,-0.4472135954999579,-0.6706117275451019,-0.21320071635561041
NVDA,10d,100,0.49,0.4858352656517795,-0.020332091984056118,-0.21378527383754803,0.18519972320123979
TSLA,10d,100,0.51,0.5099509950995099,0.02000400120040014,-0.16450171026164997,0.21353621969509629
TSM,10d,60,0.6166666666666667,0.613986013986014,0.23664319132398462,0.005496557147300794,0.47218896853769343
AAPL,21d,68,0.45588235294117646,0.4557646549859399,-0.08827348295047496,-0.32605108334234484,0.1798624716518077
AMZN,21d,20,0.5,0.45054945054945056,0.0,-0.43463356032809364,0.45226701686664544
GOOG,21d,100,0.53,0.5288220551378446,0.06030226891555272,-0.14005226311824107,0.2541648219407782
MSFT,21d,20,0.55,0.5488721804511277,0.10050378152592121,-0.31868131868131866,0.5333964609104418
NVDA,21d,100,0.45,0.44729172947442464,-0.1009946454058471,-0.2952337375137391,0.09833064299975855
TSLA,21d,100,0.4,0.3997599039615847,-0.2001601922563589,-0.39621266523090776,-0.00563921933790826
TSM,21d,36,0.5833333333333334,0.5804195804195804,0.1690308509457033,-0.1585234023496764,0.4913975701062781
