horizon,baseline,samples,accuracy,wf1,mcc,actual_up_frac,pred_up_frac
1d,always_UP,584,0.5,,,,
1d,always_DOWN,584,0.5,,,,
1d,majority_class[UP],584,0.5,,,,
1d,qwen_pipeline,584,0.5222602739726028,0.5198939226519336,0.04496601228690494,,
1d,_class_dist,584,,,,0.5,0.5702054794520548
3d,always_UP,572,0.5,,,,
3d,always_DOWN,572,0.5,,,,
3d,majority_class[UP],572,0.5,,,,
3d,qwen_pipeline,572,0.5052447552447552,0.5024328768807537,0.010610116901320505,,
3d,_class_dist,572,,,,0.5,0.5751748251748252
5d,always_UP,516,0.5,,,,
5d,always_DOWN,516,0.5,,,,
5d,majority_class[UP],516,0.5,,,,
5d,qwen_pipeline,516,0.5038759689922481,0.5017125612976235,0.007820140588623181,,
5d,_class_dist,516,,,,0.5,0.5658914728682171
10d,always_UP,496,0.5,,,,
10d,always_DOWN,496,0.5,,,,
10d,majority_class[UP],496,0.5,,,,
10d,qwen_pipeline,496,0.5100806451612904,0.5076289569469465,0.02036512053345073,,
10d,_class_dist,496,,,,0.5,0.5705645161290323
21d,always_UP,444,0.5,,,,
21d,always_DOWN,444,0.5,,,,
21d,majority_class[UP],444,0.5,,,,
21d,qwen_pipeline,444,0.4752252252252252,0.47426248253080927,-0.049732025185464615,,
21d,_class_dist,444,,,,0.5,0.5427927927927928
