horizon,baseline,samples,accuracy,wf1,mcc,actual_up_frac,pred_up_frac
1d,always_UP,583,0.5008576329331046,,,,
1d,always_DOWN,583,0.49914236706689535,,,,
1d,majority_class[UP],583,0.5008576329331046,,,,
1d,qwen_pipeline,583,0.5231560891938251,0.5208438316075997,0.04652516731046788,,
1d,_class_dist,583,,,,0.5008576329331046,0.5694682675814752
3d,always_UP,572,0.5174825174825175,,,,
3d,always_DOWN,572,0.4825174825174825,,,,
3d,majority_class[UP],572,0.5174825174825175,,,,
3d,qwen_pipeline,572,0.5122377622377622,0.5096077933627067,0.019451408714019392,,
3d,_class_dist,572,,,,0.5174825174825175,0.5751748251748252
5d,always_UP,516,0.5232558139534884,,,,
5d,always_DOWN,516,0.47674418604651164,,,,
5d,majority_class[UP],516,0.5232558139534884,,,,
5d,qwen_pipeline,516,0.5426356589147286,0.5408833581909523,0.07992467809251025,,
5d,_class_dist,516,,,,0.5232558139534884,0.5658914728682171
10d,always_UP,496,0.4959677419354839,,,,
10d,always_DOWN,496,0.5040322580645161,,,,
10d,majority_class[DOWN],496,0.5040322580645161,,,,
10d,qwen_pipeline,496,0.5463709677419355,0.5441095549602205,0.09483228218118181,,
10d,_class_dist,496,,,,0.4959677419354839,0.5705645161290323
21d,always_UP,444,0.5247747747747747,,,,
21d,always_DOWN,444,0.4752252252252252,,,,
21d,majority_class[UP],444,0.5247747747747747,,,,
21d,qwen_pipeline,444,0.47297297297297297,0.4723284098628072,-0.05858142039328385,,
21d,_class_dist,444,,,,0.5247747747747747,0.5427927927927928
