baseline,horizon,samples,pred_up_rate,accuracy,wf1,mcc,mcc_ci_low,mcc_ci_high
finbert,1d,584,0.678082191780822,0.5034246575342466,0.48716085271317827,0.007329991618892374,-0.07360329449038522,0.08853572334327174
momentum_20d,1d,584,0.6592465753424658,0.4434931506849315,0.4290132277599448,-0.11922217401448795,-0.2029585648151302,-0.03813264976436925
finbert,3d,572,0.6748251748251748,0.48951048951048953,0.47341606133979014,-0.022392424878975366,-0.10366486457243067,0.05731345206417283
momentum_20d,3d,572,0.6678321678321678,0.44405594405594406,0.4279424344588134,-0.11877950098377353,-0.20246010340482604,-0.03744362781431122
finbert,5d,516,0.6569767441860465,0.49806201550387597,0.485380927626639,-0.004082380846393183,-0.09181410918004168,0.07818389375497616
momentum_20d,5d,516,0.6802325581395349,0.4748062015503876,0.4571731358231725,-0.054019159422710857,-0.1387384882876996,0.033698827685707956
finbert,10d,496,0.655241935483871,0.48185483870967744,0.46905913273105165,-0.038177085778546664,-0.12576827874328567,0.04389057645943249
momentum_20d,10d,496,0.6875,0.46169354838709675,0.44207914326759834,-0.08264385410839742,-0.16430457773566243,0.0109234981563476
finbert,21d,444,0.6711711711711712,0.47297297297297297,0.4570652173913044,-0.057530306278342644,-0.14732849252135788,0.03569626090017428
momentum_20d,21d,444,0.6666666666666666,0.5180180180180181,0.5042471042471043,0.03822198817224581,-0.055522059173384916,0.1344812034126774
