horizon,tone,samples,actual_up_rate,pred_up_rate,accuracy,wf1,mcc
1d,ALL,584,0.5,0.5702054794520548,0.5222602739726028,0.5198939226519336,0.04496601228690494
1d,POS,292,0.5,0.523972602739726,0.5102739726027398,0.5099923722349352,0.020571603220883
1d,NEG,292,0.5,0.6164383561643836,0.5342465753424658,0.5278451514719171,0.07042952122737639
1d,MIX,0,,,,,
3d,ALL,572,0.5,0.5751748251748252,0.5052447552447552,0.5024328768807537,0.010610116901320505
3d,POS,286,0.5,0.541958041958042,0.5384615384615384,0.5376475775241268,0.07719535846557367
3d,NEG,286,0.5,0.6083916083916084,0.47202797202797203,0.4657512216242964,-0.05730682550612528
3d,MIX,0,,,,,
5d,ALL,516,0.5,0.5658914728682171,0.5038759689922481,0.5017125612976235,0.007820140588623181
5d,POS,258,0.5,0.5271317829457365,0.5,0.49963166203112086,0.0
5d,NEG,258,0.5,0.6046511627906976,0.5077519379844961,0.5023012075643655,0.015855049805149804
5d,MIX,0,,,,,
10d,ALL,496,0.5,0.5705645161290323,0.5100806451612904,0.5076289569469465,0.02036512053345073
10d,POS,248,0.5,0.5120967741935484,0.5201612903225806,0.5200910643141718,0.04033438679164154
10d,NEG,248,0.5,0.6290322580645161,0.5,0.49153439153439155,0.0
10d,MIX,0,,,,,
21d,ALL,444,0.5,0.5427927927927928,0.4752252252252252,0.47426248253080927,-0.049732025185464615
21d,POS,222,0.5,0.4864864864864865,0.481981981981982,0.4818873668188736,-0.03604920469572501
21d,NEG,222,0.5,0.5990990990990991,0.46846846846846846,0.4631967213114754,-0.06433943105995626
21d,MIX,0,,,,,
