horizon,threshold,samples,coverage,accuracy,wf1,mcc
1d,0.0,584,1.0,0.5222602739726028,0.5198939226519336,0.04496601228690494
1d,0.4,584,1.0,0.5222602739726028,0.5198939226519336,0.04496601228690494
1d,0.5,584,1.0,0.5222602739726028,0.5198939226519336,0.04496601228690494
1d,0.6,536,0.9178082191780822,0.5149253731343284,0.5128504051351546,0.030600335268589858
1d,0.7,508,0.8698630136986302,0.5216535433070866,0.5190581114875956,0.04798819278374686
1d,0.8,481,0.8236301369863014,0.5239085239085239,0.5218158141235064,0.051964821319774555
1d,0.9,443,0.7585616438356164,0.5237020316027088,0.5217741826354488,0.05044775137573399
3d,0.0,572,1.0,0.5052447552447552,0.5024328768807537,0.010610116901320505
3d,0.4,572,1.0,0.5052447552447552,0.5024328768807537,0.010610116901320505
3d,0.5,572,1.0,0.5052447552447552,0.5024328768807537,0.010610116901320505
3d,0.6,545,0.9527972027972028,0.5064220183486239,0.5029575380444679,0.012716201961431356
3d,0.7,508,0.8881118881118881,0.49803149606299213,0.4940981045182741,-0.0011655827868001312
3d,0.8,478,0.8356643356643356,0.49581589958158995,0.490554596616516,-0.0032921815442315205
3d,0.9,437,0.763986013986014,0.4988558352402746,0.4951380740179969,-0.002721450223768842
5d,0.0,516,1.0,0.5038759689922481,0.5017125612976235,0.007820140588623181
5d,0.4,516,1.0,0.5038759689922481,0.5017125612976235,0.007820140588623181
5d,0.5,516,1.0,0.5038759689922481,0.5017125612976235,0.007820140588623181
5d,0.6,501,0.9709302325581395,0.5109780439121756,0.5086514662151639,0.021335079945029832
5d,0.7,477,0.9244186046511628,0.5157232704402516,0.5128743947947445,0.030848018142394018
5d,0.8,410,0.7945736434108527,0.5,0.4969373274814234,-0.000770910675624649
5d,0.9,380,0.7364341085271318,0.5078947368421053,0.5053977490238113,0.015951355189438705
10d,0.0,496,1.0,0.5100806451612904,0.5076289569469465,0.02036512053345073
10d,0.4,496,1.0,0.5100806451612904,0.5076289569469465,0.02036512053345073
10d,0.5,496,1.0,0.5100806451612904,0.5076289569469465,0.02036512053345073
10d,0.6,479,0.9657258064516129,0.5156576200417536,0.5134178080268123,0.03132173466640391
10d,0.7,446,0.8991935483870968,0.5067264573991032,0.5035038167385026,0.015099415178045219
10d,0.8,416,0.8387096774193549,0.5072115384615384,0.5039271410915707,0.017011247191811962
10d,0.9,372,0.75,0.5026881720430108,0.4996181900649077,0.011606488386444203
21d,0.0,444,1.0,0.4752252252252252,0.47426248253080927,-0.049732025185464615
21d,0.4,444,1.0,0.4752252252252252,0.47426248253080927,-0.049732025185464615
21d,0.5,444,1.0,0.4752252252252252,0.47426248253080927,-0.049732025185464615
21d,0.6,411,0.9256756756756757,0.48905109489051096,0.4872365939328914,-0.02117919767765075
21d,0.7,390,0.8783783783783784,0.49230769230769234,0.49043354799452366,-0.012961209327940197
21d,0.8,366,0.8243243243243243,0.4890710382513661,0.48763832361784254,-0.018992683511140494
21d,0.9,345,0.777027027027027,0.4811594202898551,0.47995485437940677,-0.034642799404976346
