horizon,threshold,samples,coverage,accuracy,wf1,mcc
1d,0.0,584,1.0,0.5222602739726028,0.5198939226519336,0.04496601228690494
1d,0.005,581,0.9948630136986302,0.5215146299483648,0.5191783312497681,0.04321136583006007
1d,0.01,581,0.9948630136986302,0.5215146299483648,0.5191783312497681,0.04321136583006007
1d,0.02,580,0.9931506849315068,0.5206896551724138,0.5182833349339746,0.04130694624811202
1d,0.03,578,0.9897260273972602,0.5224913494809689,0.5201980664819668,0.0444537665522207
1d,0.05,572,0.9794520547945206,0.5209790209790209,0.5184031640157744,0.04034546840686495
3d,0.0,572,1.0,0.5052447552447552,0.5024328768807537,0.010610116901320505
3d,0.005,572,1.0,0.5052447552447552,0.5024328768807537,0.010610116901320505
3d,0.01,569,0.9947552447552448,0.5043936731107206,0.5014822924824391,0.008076270204424772
3d,0.02,569,0.9947552447552448,0.5043936731107206,0.5014822924824391,0.008076270204424772
3d,0.03,568,0.993006993006993,0.5052816901408451,0.5022957796121864,0.010140355256267884
3d,0.05,566,0.9895104895104895,0.5053003533568905,0.502297086271312,0.009619139875299226
5d,0.0,516,1.0,0.5038759689922481,0.5017125612976235,0.007820140588623181
5d,0.005,515,0.998062015503876,0.5029126213592233,0.5008010877597332,0.006129966876996252
5d,0.01,513,0.9941860465116279,0.5009746588693957,0.49896872194317055,0.002712191762682758
5d,0.02,512,0.9922480620155039,0.501953125,0.5000023780022054,0.00442930496112084
5d,0.03,511,0.9903100775193798,0.50293542074364,0.5009216366625505,0.00667193261590843
5d,0.05,509,0.9864341085271318,0.5029469548133595,0.5009254826777416,0.00720770035340053
10d,0.0,496,1.0,0.5100806451612904,0.5076289569469465,0.02036512053345073
10d,0.005,496,1.0,0.5100806451612904,0.5076289569469465,0.02036512053345073
10d,0.01,496,1.0,0.5100806451612904,0.5076289569469465,0.02036512053345073
10d,0.02,494,0.9959677419354839,0.5101214574898786,0.5076527019890864,0.021028962297444023
10d,0.03,493,0.9939516129032258,0.5091277890466531,0.5067176543689685,0.019297553193254276
10d,0.05,493,0.9939516129032258,0.5091277890466531,0.5067176543689685,0.019297553193254276
21d,0.0,444,1.0,0.4752252252252252,0.47426248253080927,-0.049732025185464615
21d,0.005,443,0.9977477477477478,0.47404063205417607,0.4731225353139057,-0.05191171225521327
21d,0.01,443,0.9977477477477478,0.47404063205417607,0.4731225353139057,-0.05191171225521327
21d,0.02,440,0.990990990990991,0.4727272727272727,0.47174477696216827,-0.05514462197154686
21d,0.03,440,0.990990990990991,0.4727272727272727,0.47174477696216827,-0.05514462197154686
21d,0.05,440,0.990990990990991,0.4727272727272727,0.47174477696216827,-0.05514462197154686
