horizon,threshold,samples,coverage,accuracy,wf1,mcc
1d,0.0,584,1.0,0.5222602739726028,0.5198939226519336,0.04496601228690494
1d,0.4,581,0.9948630136986302,0.5215146299483648,0.5190615163148382,0.043723665184699584
1d,0.5,581,0.9948630136986302,0.5215146299483648,0.5190615163148382,0.043723665184699584
1d,0.6,580,0.9931506849315068,0.5206896551724138,0.5181630189220526,0.041820224876317806
1d,0.7,573,0.9811643835616438,0.5235602094240838,0.5210479092101242,0.04736725934793771
1d,0.8,565,0.9674657534246576,0.5256637168141592,0.5232139413360373,0.05160686283615599
1d,0.9,543,0.9297945205479452,0.5230202578268877,0.5208559569457024,0.04671223376918927
3d,0.0,572,1.0,0.5052447552447552,0.5024328768807537,0.010610116901320505
3d,0.4,570,0.9965034965034965,0.5035087719298246,0.5008006575086806,0.007617846588955145
3d,0.5,570,0.9965034965034965,0.5035087719298246,0.5008006575086806,0.007617846588955145
3d,0.6,569,0.9947552447552448,0.5026362038664324,0.4998466157155576,0.005597767478251078
3d,0.7,563,0.9842657342657343,0.5008880994671403,0.4981659788119189,0.0025901023293573608
3d,0.8,558,0.9755244755244755,0.503584229390681,0.5010223873700308,0.007762569085665133
3d,0.9,534,0.9335664335664335,0.5093632958801498,0.507013768001266,0.0204825365086542
5d,0.0,516,1.0,0.5038759689922481,0.5017125612976235,0.007820140588623181
5d,0.4,516,1.0,0.5038759689922481,0.5017125612976235,0.007820140588623181
5d,0.5,516,1.0,0.5038759689922481,0.5017125612976235,0.007820140588623181
5d,0.6,516,1.0,0.5038759689922481,0.5017125612976235,0.007820140588623181
5d,0.7,511,0.9903100775193798,0.5068493150684932,0.5049717800801755,0.013074799351530463
5d,0.8,508,0.9844961240310077,0.5039370078740157,0.5020842982862437,0.007449260584499881
5d,0.9,490,0.9496124031007752,0.5081632653061224,0.5066013954271936,0.014089399073526939
10d,0.0,496,1.0,0.5100806451612904,0.5076289569469465,0.02036512053345073
10d,0.4,493,0.9939516129032258,0.513184584178499,0.5109299143950197,0.025781846414768137
10d,0.5,493,0.9939516129032258,0.513184584178499,0.5109299143950197,0.025781846414768137
10d,0.6,493,0.9939516129032258,0.513184584178499,0.5109299143950197,0.025781846414768137
10d,0.7,489,0.9858870967741935,0.5173824130879345,0.5153942954433596,0.033200634960413956
10d,0.8,483,0.9737903225806451,0.5134575569358178,0.5113044264107522,0.02407543969099219
10d,0.9,468,0.9435483870967742,0.5106837606837606,0.50866578085513,0.01699800930188277
21d,0.0,444,1.0,0.4752252252252252,0.47426248253080927,-0.049732025185464615
21d,0.4,442,0.9954954954954955,0.47285067873303166,0.47177162403355793,-0.05493410789573011
21d,0.5,442,0.9954954954954955,0.47285067873303166,0.47177162403355793,-0.05493410789573011
21d,0.6,442,0.9954954954954955,0.47285067873303166,0.47177162403355793,-0.05493410789573011
21d,0.7,438,0.9864864864864865,0.4748858447488584,0.47391991570073766,-0.051616224317205
21d,0.8,434,0.9774774774774775,0.47235023041474655,0.4712962294048202,-0.05768394890563871
21d,0.9,426,0.9594594594594594,0.4765258215962441,0.4755092656555108,-0.0502833601702776
