Ticker,horizon,samples,direction_mcc,direction_mcc_ci_low,direction_mcc_ci_high,chi2,p_value,sig_ci_uncorrected,sig_p_uncorrected,sig_bonferroni,sig_fdr
NVDA,5d,100,-0.2431322695419323,-0.4242464503364186,-0.0533736576528396,5.911330049261081,0.015043809331531512,True,True,False,False
MSFT,10d,24,-0.4472135954999579,-0.6706117275451019,-0.2132007163556104,4.8,0.028459736916310617,True,True,False,False
TSLA,21d,100,-0.2001601922563589,-0.3962126652309077,-0.0056392193379082,4.0064102564102555,0.045327562077972186,True,True,False,False
TSM,10d,60,0.2366431913239846,0.0054965571473007,0.4721889685376934,3.3599999999999985,0.06679806847513822,True,False,False,False
NVDA,1d,100,0.1025115460130912,-0.1035932990669997,0.287307095306181,1.0508617065994115,0.30530871155627665,False,False,False,False
TSM,21d,36,0.1690308509457033,-0.1585234023496764,0.4913975701062781,1.0285714285714285,0.31049443431723206,False,False,False,False
NVDA,21d,100,-0.1009946454058471,-0.2952337375137391,0.0983306429997585,1.0199918400652792,0.3125209447143523,False,False,False,False
AAPL,5d,100,0.1001804874626076,-0.0855768119877437,0.2957408487441669,1.0036130068245679,0.3164378424577654,False,False,False,False
TSM,5d,52,0.117579270250443,-0.1505597858945663,0.376311844077961,0.718894009216589,0.3965069339482309,False,False,False,False
TSLA,1d,100,0.080582296402538,-0.118357272896116,0.2944146812820323,0.6493506493506489,0.42034493503392867,False,False,False,False
TSLA,5d,100,0.0800640769025435,-0.1088931012960941,0.2692036845293492,0.6410256410256399,0.42333964158244397,False,False,False,False
TSM,1d,60,0.1014185105674219,-0.1556359275577118,0.3340765523905304,0.6171428571428561,0.43211100384254875,False,False,False,False
AMZN,5d,40,0.1154700538379251,-0.1869416303135916,0.4162394148331205,0.5333333333333328,0.4652088184521421,False,False,False,False
AAPL,21d,68,-0.0882734829504749,-0.3260510833423448,0.1798624716518077,0.5298701298701292,0.46666146469291825,False,False,False,False
GOOG,10d,88,0.0690613883274196,-0.1303221443332717,0.2755785108698363,0.4197138314785371,0.5170798713280691,False,False,False,False
GOOG,21d,100,0.0603022689155527,-0.140052263118241,0.2541648219407782,0.36363636363636337,0.5464935954065823,False,False,False,False
MSFT,3d,60,0.0727392967453307,-0.1713981649915841,0.3210712522351984,0.3174603174603166,0.5731379133840769,False,False,False,False
MSFT,21d,20,0.1005037815259212,-0.3186813186813186,0.5333964609104418,0.20202020202020196,0.653095114932182,False,False,False,False
MSFT,5d,24,-0.0916698497028211,-0.478141141603393,0.2927700218845599,0.20168067226890746,0.6533676621999003,False,False,False,False
GOOG,5d,100,0.0205023092026182,-0.1711246794565787,0.2116823076798676,0.04203446826397629,0.8375540834079849,False,False,False,False
NVDA,10d,100,-0.0203320919840561,-0.213785273837548,0.1851997232012397,0.041339396444811834,0.8388842053441175,False,False,False,False
GOOG,3d,100,-0.0201989290811694,-0.1997053759708001,0.1666784348974174,0.04079967360261108,0.8399250963232795,False,False,False,False
AAPL,3d,100,0.0201007563051842,-0.1703947385634949,0.2347375713766123,0.04040404040404024,0.8406926603054864,False,False,False,False
TSLA,3d,100,0.0200040012004001,-0.1800432324693285,0.2074114671971054,0.040016006402560866,0.8414492884433389,False,False,False,False
AAPL,10d,100,-0.0200040012004001,-0.2192481040661833,0.1790094403898265,0.040016006402560866,0.8414492884433389,False,False,False,False
TSLA,10d,100,0.0200040012004001,-0.1645017102616499,0.2135362196950962,0.040016006402560866,0.8414492884433389,False,False,False,False
GOOG,1d,100,0.0200040012004001,-0.1661545288802743,0.2065260425912166,0.040016006402560866,0.8414492884433389,False,False,False,False
TSM,3d,60,0.0,-0.2668041381743976,0.2566494996092964,0.0,1.0,False,False,False,False
AMZN,10d,24,0.0,-0.4113766756037211,0.4110421005759438,0.0,1.0,False,False,False,False
NVDA,3d,100,0.0,-0.2162892609149723,0.1884859476906525,0.0,1.0,False,False,False,False
AMZN,3d,52,0.0,-0.2828894749305018,0.2786915371092696,0.0,1.0,False,False,False,False
AMZN,21d,20,0.0,-0.4346335603280936,0.4522670168666454,0.0,1.0,False,False,False,False
MSFT,1d,72,0.0,-0.2266641508107622,0.2421154981228826,0.0,1.0,False,False,False,False
AMZN,1d,52,0.0,-0.2565878406503382,0.280860553461605,0.0,1.0,False,False,False,False
AAPL,1d,100,0.0,-0.1976270941828197,0.1992102108263344,0.0,1.0,False,False,False,False
