Ticker,horizon,samples,direction_accuracy,strength_accuracy,strength_accuracy_conditional
GM,1d,69,0.5072463768115942,0.43478260869565216,0.2608695652173913
GOOG,1d,1805,0.46426592797783933,0.5030470914127424,0.23213296398891967
GM,3d,69,0.5942028985507246,0.5217391304347826,0.3188405797101449
GOOG,3d,1805,0.44930747922437675,0.532409972299169,0.2476454293628809
GM,5d,69,0.6956521739130435,0.4057971014492754,0.2318840579710145
GOOG,5d,1805,0.45318559556786703,0.4936288088642659,0.22659279778393351
GM,10d,57,0.6666666666666666,0.0,0.0
GOOG,10d,1783,0.50701065619742,0.4212002243409983,0.20078519349411106
GM,21d,0,,,
GOOG,21d,1657,0.5763427881713941,0.4459867229933615,0.235968617984309
