horizon,baseline,samples,accuracy,wf1,mcc,actual_up_frac,pred_up_frac
1d,always_UP,1480,0.5540540540540541,,,,
1d,always_DOWN,1480,0.44594594594594594,,,,
1d,majority_class[UP],1480,0.5540540540540541,,,,
1d,qwen_pipeline,1480,0.46824324324324323,0.46971590238600813,-0.06670205448060644,,
1d,_class_dist,1480,,,,0.5540540540540541,0.5128378378378379
3d,always_UP,1480,0.5243243243243243,,,,
3d,always_DOWN,1480,0.4756756756756757,,,,
3d,majority_class[UP],1480,0.5243243243243243,,,,
3d,qwen_pipeline,1480,0.5243243243243243,0.5245504538700668,0.04766435230498121,,
3d,_class_dist,1480,,,,0.5243243243243243,0.5108108108108108
5d,always_UP,1480,0.5114864864864865,,,,
5d,always_DOWN,1480,0.4885135135135135,,,,
5d,majority_class[UP],1480,0.5114864864864865,,,,
5d,qwen_pipeline,1480,0.5027027027027027,0.5026263574850001,0.004633158277633387,,
5d,_class_dist,1480,,,,0.5114864864864865,0.5168918918918919
10d,always_UP,1456,0.5460164835164835,,,,
10d,always_DOWN,1456,0.4539835164835165,,,,
10d,majority_class[UP],1456,0.5460164835164835,,,,
10d,qwen_pipeline,1456,0.49107142857142855,0.4915520269668549,-0.02433861047659296,,
10d,_class_dist,1456,,,,0.5460164835164835,0.5343406593406593
21d,always_UP,1336,0.5269461077844312,,,,
21d,always_DOWN,1336,0.47305389221556887,,,,
21d,majority_class[UP],1336,0.5269461077844312,,,,
21d,qwen_pipeline,1336,0.49700598802395207,0.49700598802395207,-0.008918296892980437,,
21d,_class_dist,1336,,,,0.5269461077844312,0.5269461077844312
