horizon,baseline,samples,accuracy,wf1,mcc,actual_up_frac,pred_up_frac
1d,always_UP,1480,0.5540540540540541,,,,
1d,always_DOWN,1480,0.44594594594594594,,,,
1d,majority_class[UP],1480,0.5540540540540541,,,,
1d,qwen_pipeline,1480,0.46824324324324323,0.46971590238600813,-0.06670205448060644,,
1d,_class_dist,1480,,,,0.5540540540540541,0.5128378378378379
3d,always_UP,1480,0.5743243243243243,,,,
3d,always_DOWN,1480,0.42567567567567566,,,,
3d,majority_class[UP],1480,0.5743243243243243,,,,
3d,qwen_pipeline,1480,0.4797297297297297,0.48256349062686454,-0.04425648270333691,,
3d,_class_dist,1480,,,,0.5743243243243243,0.5108108108108108
5d,always_UP,1480,0.6101351351351352,,,,
5d,always_DOWN,1480,0.3898648648648649,,,,
5d,majority_class[UP],1480,0.6101351351351352,,,,
5d,qwen_pipeline,1480,0.4783783783783784,0.4846580070058253,-0.05199070558644696,,
5d,_class_dist,1480,,,,0.6101351351351352,0.5168918918918919
10d,always_UP,1456,0.6085164835164835,,,,
10d,always_DOWN,1456,0.3914835164835165,,,,
10d,majority_class[UP],1456,0.6085164835164835,,,,
10d,qwen_pipeline,1456,0.49725274725274726,0.5026911189771767,-0.020948218869722816,,
10d,_class_dist,1456,,,,0.6085164835164835,0.5343406593406593
21d,always_UP,1336,0.8338323353293413,,,,
21d,always_DOWN,1336,0.1661676646706587,,,,
21d,majority_class[UP],1336,0.8338323353293413,,,,
21d,qwen_pipeline,1336,0.4431137724550898,0.5139973490540657,-0.201450577648292,,
21d,_class_dist,1336,,,,0.8338323353293413,0.5269461077844312
