horizon,threshold,samples,coverage,accuracy,wf1,mcc
1d,0.0,1480,1.0,0.46824324324324323,0.46971590238600813,-0.06670205448060644
1d,0.4,1480,1.0,0.46824324324324323,0.46971590238600813,-0.06670205448060644
1d,0.5,1480,1.0,0.46824324324324323,0.46971590238600813,-0.06670205448060644
1d,0.6,1474,0.995945945945946,0.4681139755766621,0.46956922159589026,-0.0674406628906695
1d,0.7,883,0.5966216216216216,0.47565118912797283,0.4641346220348485,-0.07758091364170733
1d,0.8,39,0.026351351351351353,0.4358974358974359,0.33143399810066476,-0.1777575437524446
1d,0.9,0,0.0,,,
3d,0.0,1480,1.0,0.5243243243243243,0.5245504538700668,0.04766435230498121
3d,0.4,1480,1.0,0.5243243243243243,0.5245504538700668,0.04766435230498121
3d,0.5,1480,1.0,0.5243243243243243,0.5245504538700668,0.04766435230498121
3d,0.6,1478,0.9986486486486487,0.523680649526387,0.5239164546438583,0.04627981407078202
3d,0.7,946,0.6391891891891892,0.5443974630021141,0.5367457079475536,0.07663111615104035
3d,0.8,34,0.022972972972972974,0.6764705882352942,0.591416944136145,0.3177444546511213
3d,0.9,0,0.0,,,
5d,0.0,1480,1.0,0.5027027027027027,0.5026263574850001,0.004633158277633387
5d,0.4,1480,1.0,0.5027027027027027,0.5026263574850001,0.004633158277633387
5d,0.5,1480,1.0,0.5027027027027027,0.5026263574850001,0.004633158277633387
5d,0.6,1474,0.995945945945946,0.5040705563093623,0.5039428517253383,0.0073747232973980295
5d,0.7,971,0.6560810810810811,0.509783728115345,0.5000678506654714,0.014692840075936799
5d,0.8,32,0.021621621621621623,0.59375,0.5122549019607843,-0.21684543705982773
5d,0.9,0,0.0,,,
10d,0.0,1456,1.0,0.49107142857142855,0.4915520269668549,-0.02433861047659296
10d,0.4,1456,1.0,0.49107142857142855,0.4915520269668549,-0.02433861047659296
10d,0.5,1456,1.0,0.49107142857142855,0.4915520269668549,-0.02433861047659296
10d,0.6,1452,0.9972527472527473,0.4896694214876033,0.49017081545597363,-0.02766448414579967
10d,0.7,977,0.6710164835164835,0.49129989764585463,0.4788653458854727,-0.047749946691088875
10d,0.8,53,0.036401098901098904,0.49056603773584906,0.3646334147310074,-0.07704169392017071
10d,0.9,0,0.0,,,
21d,0.0,1336,1.0,0.49700598802395207,0.49700598802395207,-0.008918296892980437
21d,0.4,1336,1.0,0.49700598802395207,0.49700598802395207,-0.008918296892980437
21d,0.5,1336,1.0,0.49700598802395207,0.49700598802395207,-0.008918296892980437
21d,0.6,1331,0.9962574850299402,0.49511645379413977,0.49511645379413977,-0.013157894736842105
21d,0.7,867,0.6489520958083832,0.5155709342560554,0.5064022940653231,0.014757580664506829
21d,0.8,46,0.0344311377245509,0.6521739130434783,0.579057318187753,-0.036450740219987766
21d,0.9,0,0.0,,,
