horizon,threshold,samples,coverage,accuracy,wf1,mcc
1d,0.0,1480,1.0,0.46824324324324323,0.46971590238600813,-0.06670205448060644
1d,0.005,1480,1.0,0.46824324324324323,0.46971590238600813,-0.06670205448060644
1d,0.01,1480,1.0,0.46824324324324323,0.46971590238600813,-0.06670205448060644
1d,0.02,1476,0.9972972972972973,0.4695121951219512,0.4710862122626829,-0.06394790914988117
1d,0.03,1476,0.9972972972972973,0.4695121951219512,0.4710862122626829,-0.06394790914988117
1d,0.05,1475,0.9966216216216216,0.46983050847457625,0.4713814904095373,-0.0633670626309785
3d,0.0,1480,1.0,0.5243243243243243,0.5245504538700668,0.04766435230498121
3d,0.005,1480,1.0,0.5243243243243243,0.5245504538700668,0.04766435230498121
3d,0.01,1480,1.0,0.5243243243243243,0.5245504538700668,0.04766435230498121
3d,0.02,1480,1.0,0.5243243243243243,0.5245504538700668,0.04766435230498121
3d,0.03,1480,1.0,0.5243243243243243,0.5245504538700668,0.04766435230498121
3d,0.05,1471,0.9939189189189189,0.5241332426920462,0.5242987897423746,0.04741795264356537
5d,0.0,1480,1.0,0.5027027027027027,0.5026263574850001,0.004633158277633387
5d,0.005,1480,1.0,0.5027027027027027,0.5026263574850001,0.004633158277633387
5d,0.01,1470,0.9932432432432432,0.5,0.49993124398384853,-0.00046672502494503137
5d,0.02,1470,0.9932432432432432,0.5,0.49993124398384853,-0.00046672502494503137
5d,0.03,1470,0.9932432432432432,0.5,0.49993124398384853,-0.00046672502494503137
5d,0.05,1459,0.9858108108108108,0.49691569568197397,0.496861324852262,-0.006372024892623339
10d,0.0,1456,1.0,0.49107142857142855,0.4915520269668549,-0.02433861047659296
10d,0.005,1456,1.0,0.49107142857142855,0.4915520269668549,-0.02433861047659296
10d,0.01,1456,1.0,0.49107142857142855,0.4915520269668549,-0.02433861047659296
10d,0.02,1442,0.9903846153846154,0.48751733703190014,0.4879075826319564,-0.030323315225077356
10d,0.03,1442,0.9903846153846154,0.48751733703190014,0.4879075826319564,-0.030323315225077356
10d,0.05,1442,0.9903846153846154,0.48751733703190014,0.4879075826319564,-0.030323315225077356
21d,0.0,1336,1.0,0.49700598802395207,0.49700598802395207,-0.008918296892980437
21d,0.005,1336,1.0,0.49700598802395207,0.49700598802395207,-0.008918296892980437
21d,0.01,1323,0.9902694610778443,0.4928193499622071,0.49284378857543826,-0.01846642414350025
21d,0.02,1311,0.9812874251497006,0.4950419527078566,0.49529868822939077,-0.014325697099923259
21d,0.03,1311,0.9812874251497006,0.4950419527078566,0.49529868822939077,-0.014325697099923259
21d,0.05,1292,0.9670658682634731,0.4914860681114551,0.49195042576804265,-0.023148772851189412
