horizon,threshold,samples,coverage,accuracy,wf1,mcc
1d,0.0,1480,1.0,0.46824324324324323,0.46971590238600813,-0.06670205448060644
1d,0.4,1480,1.0,0.46824324324324323,0.46971590238600813,-0.06670205448060644
1d,0.5,1444,0.9756756756756757,0.47022160664819945,0.47148519961313473,-0.06368315558944675
1d,0.6,534,0.3608108108108108,0.47191011235955055,0.47060229323896463,-0.06487369922055186
1d,0.7,302,0.20405405405405405,0.4271523178807947,0.422923934538348,-0.151407036562707
1d,0.8,143,0.09662162162162162,0.44755244755244755,0.43717604134995436,-0.10310391142038074
1d,0.9,3,0.002027027027027027,0.6666666666666666,0.6666666666666666,0.5
3d,0.0,1480,1.0,0.5243243243243243,0.5245504538700668,0.04766435230498121
3d,0.4,1480,1.0,0.5243243243243243,0.5245504538700668,0.04766435230498121
3d,0.5,1444,0.9756756756756757,0.5270083102493075,0.5271507607230718,0.052601502698649716
3d,0.6,534,0.3608108108108108,0.5056179775280899,0.5041933870420321,0.00012784485110080017
3d,0.7,302,0.20405405405405405,0.5,0.4970953424349682,-0.02349552546980886
3d,0.8,143,0.09662162162162162,0.5174825174825175,0.5055593055593055,-0.00438047902531539
3d,0.9,3,0.002027027027027027,0.6666666666666666,0.6666666666666666,0.5
5d,0.0,1480,1.0,0.5027027027027027,0.5026263574850001,0.004633158277633387
5d,0.4,1480,1.0,0.5027027027027027,0.5026263574850001,0.004633158277633387
5d,0.5,1444,0.9756756756756757,0.5034626038781164,0.5033169509824409,0.005953645183120428
5d,0.6,534,0.3608108108108108,0.5224719101123596,0.5214459632137136,0.029966133969879644
5d,0.7,302,0.20405405405405405,0.5231788079470199,0.5202624043167574,0.016012449501240297
5d,0.8,143,0.09662162162162162,0.5524475524475524,0.540241576605213,0.06878187808008261
5d,0.9,3,0.002027027027027027,1.0,1.0,1.0
10d,0.0,1456,1.0,0.49107142857142855,0.4915520269668549,-0.02433861047659296
10d,0.4,1456,1.0,0.49107142857142855,0.4915520269668549,-0.02433861047659296
10d,0.5,1421,0.9759615384615384,0.4912033779028853,0.4912901113002307,-0.024180606279355674
10d,0.6,529,0.3633241758241758,0.4839319470699433,0.48017380018621447,-0.050218046287766806
10d,0.7,298,0.20467032967032966,0.5033557046979866,0.4949148155216344,-0.02194435979551341
10d,0.8,140,0.09615384615384616,0.5642857142857143,0.5487005760918113,0.13277651458583023
10d,0.9,3,0.0020604395604395605,0.0,0.0,
21d,0.0,1336,1.0,0.49700598802395207,0.49700598802395207,-0.008918296892980437
21d,0.4,1336,1.0,0.49700598802395207,0.49700598802395207,-0.008918296892980437
21d,0.5,1303,0.9752994011976048,0.49884881043745205,0.49873626094696705,-0.005709193440262948
21d,0.6,483,0.3615269461077844,0.5320910973084886,0.5294355880468894,0.04875590696126833
21d,0.7,271,0.2028443113772455,0.5424354243542435,0.5416636602043551,0.0393964160747092
21d,0.8,123,0.09206586826347306,0.5691056910569106,0.570302182378784,0.04735530505596518
21d,0.9,3,0.002245508982035928,0.3333333333333333,0.16666666666666666,
